GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Huefy Java SDK,com.teracrafts.huefy.models,ErrorResponse,0,16,0,0,0,8,0,4,0,4
Huefy Java SDK,com.teracrafts.huefy.models,SendEmailRequest.Builder,0,28,0,0,0,10,0,6,0,6
Huefy Java SDK,com.teracrafts.huefy.models,BulkEmailRequest,0,9,0,0,0,4,0,2,0,2
Huefy Java SDK,com.teracrafts.huefy.models,EmailProvider,0,78,0,6,0,16,0,8,0,5
Huefy Java SDK,com.teracrafts.huefy.models,BulkEmailResponse,0,16,0,0,0,8,0,4,0,4
Huefy Java SDK,com.teracrafts.huefy.models,SendEmailResponse,10,46,0,0,1,20,1,10,1,10
Huefy Java SDK,com.teracrafts.huefy.models,HealthResponse,8,36,0,0,1,16,1,8,1,8
Huefy Java SDK,com.teracrafts.huefy.models,BulkEmailResponse.BulkEmailResult,9,33,0,0,4,15,1,8,1,8
Huefy Java SDK,com.teracrafts.huefy.models,SendEmailRequest,0,92,0,14,0,21,0,15,0,8
Huefy Java SDK,com.teracrafts.huefy.models,ErrorDetail,0,36,0,0,0,16,0,8,0,8
Huefy Java SDK,com.teracrafts.huefy.exceptions,InvalidRecipientException,9,0,0,0,4,0,2,0,2,0
Huefy Java SDK,com.teracrafts.huefy.exceptions,NetworkException,8,5,0,0,4,2,2,1,2,1
Huefy Java SDK,com.teracrafts.huefy.exceptions,HuefyException,4,9,0,0,2,4,1,2,1,2
Huefy Java SDK,com.teracrafts.huefy.exceptions,TemplateNotFoundException,13,10,0,0,5,4,2,2,2,2
Huefy Java SDK,com.teracrafts.huefy.exceptions,RateLimitException,13,10,0,0,5,4,2,2,2,2
Huefy Java SDK,com.teracrafts.huefy.exceptions,InvalidTemplateDataException,23,0,0,0,9,0,4,0,4,0
Huefy Java SDK,com.teracrafts.huefy.exceptions,TimeoutException,13,0,0,0,6,0,3,0,3,0
Huefy Java SDK,com.teracrafts.huefy.exceptions,ValidationException,9,0,0,0,4,0,2,0,2,0
Huefy Java SDK,com.teracrafts.huefy.exceptions,ProviderException,33,0,0,0,12,0,5,0,5,0
Huefy Java SDK,com.teracrafts.huefy.exceptions,AuthenticationException,5,4,0,0,2,2,1,1,1,1
Huefy Java SDK,com.teracrafts.huefy,HuefyClient.AuthenticationInterceptor,0,19,0,0,0,7,0,2,0,2
Huefy Java SDK,com.teracrafts.huefy,HuefyClient,250,351,38,30,52,76,30,19,2,9
Huefy Java SDK,com.teracrafts.huefy,RetryConfig.Builder,67,36,17,1,17,10,13,3,4,3
Huefy Java SDK,com.teracrafts.huefy,HuefyClientConfig,0,49,0,0,0,15,0,8,0,8
Huefy Java SDK,com.teracrafts.huefy,HuefyClient.UserAgentInterceptor,0,12,0,0,0,4,0,1,0,1
Huefy Java SDK,com.teracrafts.huefy,HuefyClient.RetryInterceptor,150,0,20,0,36,0,15,0,5,0
Huefy Java SDK,com.teracrafts.huefy,HuefyClientConfig.Builder,5,55,0,0,2,18,1,7,1,7
Huefy Java SDK,com.teracrafts.huefy,RetryConfig,17,30,0,0,5,9,5,3,5,3
